"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test successful retrieval of test cases from a suite.","2","test_get_test_cases_success","src.tests.ado.test_plan","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestPlanApiWrapperPositive","test_unit_ado_test_plan","",""
"","2","test_parse_pull_requests_single_input_not_list","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposToolsPositive","test_unit_ado_repos","",""
"Test successful retrieval of all test suites for a plan.","2","test_get_all_test_suites_success","src.tests.ado.test_plan","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestPlanApiWrapperPositive","test_unit_ado_test_plan","",""
"","1","test_list_branches_in_repo_success","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposToolsPositive","test_unit_ado_repos","",""
"Test retrieval with an exception caused by the API.","2","test_get_test_suite_exception","src.tests.ado.test_plan","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestPlanApiWrapperNegative","test_unit_ado_test_plan","",""
"","2","test_parse_pull_request_comments","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposToolsPositive","test_unit_ado_repos","",""
"","3","test_create_file_branch_exists_but_no_commit_id","src.tests.ado.repos","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestReposToolsNegative","test_unit_ado_repos","",""
"Test create test suite successfully.","1","test_create_test_suite_success","src.tests.ado.test_plan","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestPlanApiWrapperPositive","test_unit_ado_test_plan","",""
"","2","test_parse_pull_requests_multiple","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposToolsPositive","test_unit_ado_repos","",""
"","2","test_run_tool_unknown_mode","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposApiWrapperValidateToolkit","test_unit_ado_repos","",""
"","2","test_active_branch_existence_success","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposApiWrapperValidateToolkit","test_unit_ado_repos","",""
"","3","test_read_file_success","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposToolsPositive","test_unit_ado_repos","",""
"","2","test_get_file_content_exception","src.tests.ado.repos","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestReposToolsExceptions","test_unit_ado_repos","",""
"","4","test_update_file_success","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposToolsPositive","test_unit_ado_repos","",""
"","2","test_read_file_not_found_exception","src.tests.ado.repos","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestReposToolsExceptions","test_unit_ado_repos","",""
"","1","test_run_tool[delete_test_suite-delete_test_suite]","src.tests.ado.test_plan","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestPlanApiWrapperValidateToolkit","test_unit_ado_test_plan","",""
"Test deletion of a test plan with str parameter instead of int.","2","test_delete_test_plan_invalid_plan_id","src.tests.ado.test_plan","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestPlanApiWrapperNegative","test_unit_ado_test_plan","",""
"","2","test_base_branch_existence_exception","src.tests.ado.repos","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestReposToolsExceptions","test_unit_ado_repos","",""
"","1","test_active_branch_existence_exception","src.tests.ado.repos","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestReposToolsExceptions","test_unit_ado_repos","",""
"Test deletion of a test plan with exception in logger.","2","test_delete_test_plan_exception","src.tests.ado.test_plan","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestPlanApiWrapperExceptions","test_unit_ado_test_plan","",""
"","2","test_get_pull_request_exception","src.tests.ado.repos","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestReposToolsExceptions","test_unit_ado_repos","",""
"","2","test_create_file_success","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposToolsPositive","test_unit_ado_repos","",""
"Test retrieval with an error caused by the API.","2","test_get_test_case_invalid","src.tests.ado.test_plan","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestPlanApiWrapperNegative","test_unit_ado_test_plan","",""
"","1","test_create_branch_invalid_name","src.tests.ado.repos","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestReposToolsNegative","test_unit_ado_repos","",""
